BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(Temp),P4(CloudCover)
1,2019,03,19,18,1,2,4,20.0,1
1,2019,03,19,18,2,2,4,20.0,1
1,2019,03,19,18,3,2,4,20.0,1
1,2019,03,19,19,0,2,4,20.0,1
1,2019,03,19,19,1,2,4,20.0,1
1,2019,03,19,19,2,2,4,20.0,1
1,2019,03,19,19,3,2,4,20.0,1
1,2019,03,19,20,0,2,4,20.0,1
1,2019,03,19,20,1,2,4,20.0,1
1,2019,03,19,20,2,2,4,20.0,1
1,2019,03,19,20,3,2,4,20.0,1
1,2019,03,19,21,0,2,4,20.0,1
1,2019,03,19,21,1,2,4,15.0,1
1,2019,03,19,21,2,2,4,15.0,1
1,2019,03,19,21,3,2,4,15.0,1
1,2019,03,19,22,0,2,4,15.0,1
1,2019,03,19,22,1,2,4,15.0,1
1,2019,03,19,22,2,2,4,15.0,1
1,2019,03,19,22,3,2,4,15.0,1
1,2019,03,19,23,0,2,4,15.0,1
1,2019,03,19,23,1,2,4,15.0,1
1,2019,03,19,23,2,2,4,15.0,1
1,2019,03,19,23,3,2,4,15.0,1
1,2019,03,20,00,0,2,4,15.0,1
1,2019,03,20,00,1,3,4,7.0,2
1,2019,03,20,00,2,3,4,7.0,2
1,2019,03,20,00,3,3,4,7.0,2
1,2019,03,20,01,0,3,4,7.0,2
1,2019,03,20,01,1,3,4,7.0,2
1,2019,03,20,01,2,3,4,7.0,2
1,2019,03,20,01,3,3,4,7.0,2
1,2019,03,20,02,0,3,4,7.0,2
1,2019,03,20,02,1,3,4,7.0,2
1,2019,03,20,02,2,3,4,7.0,2
1,2019,03,20,02,3,3,4,7.0,2
1,2019,03,20,03,0,3,4,7.0,2
1,2019,03,20,03,1,3,4,7.0,2
1,2019,03,20,03,2,3,4,7.0,2
1,2019,03,20,03,3,3,4,7.0,2
1,2019,03,20,04,0,3,4,7.0,2
1,2019,03,20,04,1,3,4,7.0,2
1,2019,03,20,04,2,3,4,7.0,2
1,2019,03,20,04,3,3,4,7.0,2
1,2019,03,20,05,0,3,4,7.0,2
1,2019,03,20,05,1,3,4,7.0,2
1,2019,03,20,05,2,3,4,7.0,2
1,2019,03,20,05,3,3,4,7.0,2
1,2019,03,20,06,0,3,4,7.0,2
1,2019,03,20,06,1,3,4,7.0,2
1,2019,03,20,06,2,3,4,7.0,2
1,2019,03,20,06,3,3,4,7.0,2
1,2019,03,20,07,0,3,4,7.0,2
1,2019,03,20,07,1,3,4,7.0,2
1,2019,03,20,07,2,3,4,7.0,2
1,2019,03,20,07,3,3,4,7.0,2
1,2019,03,20,08,0,3,4,7.0,2
1,2019,03,20,08,1,3,4,7.0,2
1,2019,03,20,08,2,3,4,7.0,2
1,2019,03,20,08,3,3,4,7.0,2
1,2019,03,20,09,0,3,4,7.0,2
1,2019,03,20,09,1,3,4,13.0,3
1,2019,03,20,09,2,3,4,13.0,3
1,2019,03,20,09,3,3,4,13.0,3
1,2019,03,20,10,0,3,4,13.0,3
1,2019,03,20,10,1,3,4,13.0,3
1,2019,03,20,10,2,3,4,13.0,3
1,2019,03,20,10,3,3,4,13.0,3
1,2019,03,20,11,0,3,4,13.0,3
1,2019,03,20,11,1,3,4,13.0,3
1,2019,03,20,11,2,3,4,13.0,3
1,2019,03,20,11,3,3,4,13.0,3
1,2019,03,20,12,0,3,4,13.0,3
1,2019,03,20,12,1,3,4,19.0,3
1,2019,03,20,12,2,3,4,19.0,3
1,2019,03,20,12,3,3,4,19.0,3
1,2019,03,20,13,0,3,4,19.0,3
1,2019,03,20,13,1,3,4,19.0,3
1,2019,03,20,13,2,3,4,19.0,3
1,2019,03,20,13,3,3,4,19.0,3
1,2019,03,20,14,0,3,4,19.0,3
1,2019,03,20,14,1,3,4,19.0,3
1,2019,03,20,14,2,3,4,19.0,3
1,2019,03,20,14,3,3,4,19.0,3
1,2019,03,20,15,0,3,4,19.0,3
1,2019,03,20,15,1,3,4,19.0,4
1,2019,03,20,15,2,3,4,19.0,4
1,2019,03,20,15,3,3,4,19.0,4
1,2019,03,20,16,0,3,4,19.0,4
1,2019,03,20,16,1,3,4,19.0,4
1,2019,03,20,16,2,3,4,19.0,4
1,2019,03,20,16,3,3,4,19.0,4
1,2019,03,20,17,0,3,4,19.0,4
1,2019,03,20,17,1,3,4,19.0,4
1,2019,03,20,17,2,3,4,19.0,4
1,2019,03,20,17,3,3,4,19.0,4
1,2019,03,20,18,0,3,4,19.0,4
